name	gene	ERR1389598	ERR1389597	ERR1389596	ERR1389595
MPN_RS00095	MPN_RS00095	5	7	2	2
MPN_RS00100	MPN_RS00100	1	1	0	0
MPN_RS00420	MPN_RS00420	4	2	0	1
MPN_RS00525	MPN_RS00525	83210	77256	88909	85526
MPN_RS00530	MPN_RS00530	150475	153416	149440	150047
MPN_RS00535	MPN_RS00535	1098	885	230	204
MPN_RS00690	MPN_RS00690	19	7	3	2
MPN_RS01675	MPN_RS01675	18	16	2	0
MPN_RS01680	MPN_RS01680	18	13	7	9
MPN_RS01685	MPN_RS01685	3	3	4	0
MPN_RS01690	MPN_RS01690	3	5	2	2
MPN_RS01695	MPN_RS01695	13	16	4	11
MPN_RS01700	MPN_RS01700	13	8	4	4
MPN_RS01705	MPN_RS01705	20	15	8	3
MPN_RS01710	MPN_RS01710	2	1	0	3
MPN_RS01765	MPN_RS01765	3	1	0	1
MPN_RS02000	MPN_RS02000	3	2	3	0
MPN_RS02010	MPN_RS02010	2	2	2	1
MPN_RS02015	MPN_RS02015	2	5	2	3
MPN_RS02120	MPN_RS02120	2	3	0	1
MPN_RS02175	MPN_RS02175	5	4	3	1
MPN_RS02250	MPN_RS02250	14	9	4	7
MPN_RS02255	MPN_RS02255	9	8	2	3
MPN_RS02260	MPN_RS02260	10	24	5	14
MPN_RS02265	MPN_RS02265	50	44	23	27
MPN_RS02270	MPN_RS02270	6	4	4	1
MPN_RS02305	MPN_RS02305	7	13	1	5
MPN_RS02565	MPN_RS02565	8	5	2	1
MPN_RS02570	MPN_RS02570	6	7	5	1
MPN_RS02580	MPN_RS02580	0	0	0	0
MPN_RS02590	MPN_RS02590	7	7	5	2
MPN_RS02595	MPN_RS02595	1	4	1	1
MPN_RS02600	MPN_RS02600	5	6	3	7
MPN_RS02605	MPN_RS02605	4	2	1	1
MPN_RS02610	MPN_RS02610	0	4	1	2
MPN_RS02615	MPN_RS02615	5	2	1	1
MPN_RS02620	MPN_RS02620	1	2	0	0
MPN_RS02670	MPN_RS02670	361	461	164	125
MPN_RS02675	MPN_RS02675	1020	1284	1011	1155
MPN_RS02995	MPN_RS02995	1	2	0	1
MPN_RS03005	MPN_RS03005	8	3	3	4
MPN_RS03030	MPN_RS03030	64	50	49	35
MPN_RS03210	MPN_RS03210	8	3	2	0
