name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,ERR1389598,ERR1389597,ERR1389596,ERR1389595
MPN_RS00535,MPN_RS00535,1087,796,291,0.365,-1.5,4.1e-05,5.0e-04,4e-04,0,881,711,331,251
MPN_RS00525,MPN_RS00525,180953,64395,116558,1.81,0.9,6.8e-05,7.0e-04,4e-04,0,66731,62059,127977,105139
MPN_RS00530,MPN_RS00530,321737.5,121956.5,199781,1.638,0.7,3.8e-04,3.8e-03,0.0015,0,120675,123238,215106,184456
MPN_RS01675,MPN_RS01675,15,13.5,1.5,0.106,-3.2,4.4e-03,3.9e-02,0.0131,0,14,13,3,0
MPN_RS02670,MPN_RS02670,525,330,195,0.589,-0.8,2.0e-02,1.6e-01,0.047,0,290,370,236,154
MPN_RS02675,MPN_RS02675,2362,924.5,1437.5,1.554,0.6,2.7e-02,1.9e-01,0.0543,0,818,1031,1455,1420
MPN_RS01705,MPN_RS01705,22,14,8,0.527,-0.9,2.0e-01,8.4e-01,0.341,2,16,12,12,4
MPN_RS03030,MPN_RS03030,102.5,45.5,57,1.23,0.3,4.6e-01,8.4e-01,0.6929,6,51,40,71,43
MPN_RS02265,MPN_RS02265,70.5,37.5,33,0.879,-0.2,6.8e-01,8.4e-01,0.8005,7,40,35,33,33
MPN_RS01680,MPN_RS01680,22.5,12,10.5,0.854,-0.2,7.3e-01,8.4e-01,0.8005,8,14,10,10,11
MPN_RS01695,MPN_RS01695,21.5,11.5,10,0.851,-0.2,7.3e-01,8.4e-01,0.8005,9,10,13,6,14
MPN_RS02260,MPN_RS02260,25.5,13.5,12,0.917,-0.1,8.4e-01,8.4e-01,0.8433,10,8,19,7,17
